City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,tromso,NO,69.6496,18.957,26.62,54,0,3.44,clear sky
341,nibbar,TN,36.2941,8.7666,49.51,81,40,6.91,scattered clouds
342,barcelos,PT,41.5388,-8.6151,52.84,62,74,7.65,broken clouds
343,chimbote,PE,-9.0853,-78.5783,73.87,73,16,10.4,few clouds
344,sembe,CG,1.6481,14.5806,71.96,97,95,2.48,light rain
345,marica,BR,-22.9194,-42.8186,80.55,87,35,7.81,scattered clouds
346,kalmunai,LK,7.4167,81.8167,78.73,81,2,3.87,clear sky
347,vostok,RU,46.4856,135.8833,27.46,82,0,7.02,clear sky
348,thinadhoo,MV,0.5333,72.9333,82.89,65,5,2.57,clear sky
349,kaseda,JP,31.4167,130.3167,51.85,64,0,6.22,clear sky
350,souillac,MU,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
351,malakal,SS,9.5334,31.6605,89.89,36,91,4.5,overcast clouds
352,shelburne,CA,44.0787,-80.2041,39.13,83,100,13.85,overcast clouds
353,berlevag,NO,70.8578,29.0864,28.35,64,75,16.11,broken clouds
354,boca do acre,BR,-8.7522,-67.3978,88.27,54,74,1.57,broken clouds
355,acapulco,MX,16.8634,-99.8901,84.76,53,4,10.54,clear sky
356,tuban,ID,-6.8976,112.0649,75.33,90,100,7.25,overcast clouds
357,morgan city,US,29.6994,-91.2068,82.99,47,0,10.36,clear sky
358,santa juliana,PH,15.3283,120.4286,72.86,81,92,0.87,overcast clouds
359,creel,MX,27.75,-107.6333,71.06,8,6,17.87,clear sky
360,matay,EG,28.419,30.7792,74.05,19,26,15.03,scattered clouds
361,nueve de julio,AR,-35.4444,-60.8831,67.78,42,0,13.98,clear sky
362,green river,US,41.5286,-109.4662,49.98,27,3,3.0,clear sky
363,jiexiu,CN,37.0244,111.9125,52.88,45,86,3.06,overcast clouds
364,paramonga,PE,-10.6667,-77.8333,72.95,77,17,10.98,few clouds
365,huadian,CN,42.9633,126.7478,41.77,57,0,6.53,clear sky
366,black river,JM,18.0264,-77.8487,84.4,62,10,11.21,clear sky
367,hit,IQ,33.6416,42.8251,76.46,18,62,13.18,broken clouds
368,antalaha,MG,-14.9003,50.2788,76.01,84,93,5.48,overcast clouds
369,pangnirtung,CA,66.1451,-65.7125,23.0,86,100,3.44,overcast clouds
370,onega,RU,63.9061,38.1404,10.18,94,39,3.04,scattered clouds
371,ancud,CL,-41.8697,-73.8203,50.23,67,81,8.99,broken clouds
372,zhangye,CN,38.9342,100.4517,46.96,21,79,4.34,broken clouds
373,sinnamary,GF,5.3833,-52.95,79.23,87,50,11.65,light rain
374,havoysund,NO,70.9963,24.6622,26.83,57,100,14.63,light snow
375,vanavara,RU,60.34,102.2797,-1.7,99,42,3.36,scattered clouds
376,cascais,PT,38.6979,-9.4215,57.47,49,0,20.0,clear sky
377,inongo,CD,-1.95,18.2667,73.98,87,96,1.61,light rain
378,guerrero negro,MX,27.9769,-114.0611,65.97,53,31,14.65,scattered clouds
379,fortuna,US,40.5982,-124.1573,56.93,70,20,10.36,few clouds
380,lingao,CN,19.9103,109.6859,64.08,74,9,10.94,clear sky
381,namtsy,RU,62.7161,129.6658,14.99,97,100,4.99,overcast clouds
382,inhambane,MZ,-23.865,35.3833,76.98,94,20,4.61,few clouds
383,le grand-quevilly,FR,49.4008,1.0458,38.55,62,0,5.75,clear sky
384,sao jose dos pinhais,BR,-25.5347,-49.2064,72.27,69,75,9.22,broken clouds
385,porto novo,BJ,6.4965,2.6036,84.02,81,94,10.83,overcast clouds
386,pisco,PE,-13.7,-76.2167,73.45,64,0,18.41,clear sky
387,marrakesh,MA,31.6315,-8.0083,62.67,63,75,11.5,broken clouds
388,ashland,US,40.8167,-82.2665,43.88,75,100,11.03,overcast clouds
389,richards bay,ZA,-28.783,32.0377,75.47,84,97,10.76,overcast clouds
390,kismayo,SO,-0.3582,42.5454,81.03,79,83,11.77,broken clouds
391,havre,FR,49.5833,0.3333,37.17,75,0,6.91,clear sky
392,jonesboro,US,35.8423,-90.7043,67.03,33,0,6.91,clear sky
393,fukue,JP,32.6881,128.8419,55.36,57,0,17.83,clear sky
394,ratnagiri,IN,16.9833,73.3,78.93,77,18,6.49,few clouds
395,manzhouli,CN,49.6,117.4333,32.22,47,94,11.56,overcast clouds
396,colares,PT,38.7992,-9.4469,57.29,50,20,20.0,few clouds
397,kizukuri,JP,40.8061,140.3861,37.8,68,2,2.53,clear sky
398,nisia floresta,BR,-6.0911,-35.2086,79.61,82,76,9.04,moderate rain
399,samarai,PG,-10.6167,150.6667,80.8,77,92,9.91,overcast clouds
400,nkoteng,CM,4.5167,12.0333,73.29,79,73,4.05,broken clouds
401,tanete,ID,-3.9443,119.7848,74.32,94,94,0.81,overcast clouds
402,vestmanna,FO,62.1564,-7.1664,43.72,100,100,20.71,drizzle
403,bagdarin,RU,54.4333,113.6,2.21,85,3,4.18,clear sky
404,carutapera,BR,-1.195,-46.02,79.02,88,100,6.93,moderate rain
405,lompoc,US,34.6391,-120.4579,68.68,78,100,5.99,overcast clouds
406,amberley,US,39.2048,-84.428,57.24,49,40,8.05,scattered clouds
407,kavaratti,IN,10.5669,72.642,82.31,72,71,7.0,broken clouds
408,puerto baquerizo moreno,EC,-0.9,-89.6,83.39,74,40,14.97,scattered clouds
409,almeirim,BR,-1.5233,-52.5817,83.32,73,82,3.06,broken clouds
410,bathsheba,BB,13.2167,-59.5167,84.81,58,20,19.57,few clouds
411,batagay,RU,67.6333,134.6333,-14.06,99,98,1.25,overcast clouds
412,nedjo,ET,9.5046,35.5019,71.55,37,99,3.2,overcast clouds
413,seminole,US,28.7086,-81.2081,83.14,56,20,3.44,few clouds
414,kinkala,CG,-4.3614,14.7644,72.41,84,79,2.17,broken clouds
415,fairbanks,US,64.8378,-147.7164,23.02,63,40,3.44,scattered clouds
416,puri,IN,19.8,85.85,79.9,87,8,20.83,clear sky
417,oktyabrskoye,RU,43.0645,44.7417,55.54,58,33,13.42,scattered clouds
418,otjiwarongo,NA,-20.4637,16.6477,63.14,75,99,4.94,overcast clouds
